sku,upc,prod_title,category,msrp_price,customer_price,qty_in_stock,description,brand,specification,images,pdfs
WAX210PA-100NAS,,NETGEAR WAX210PA-100NAS AX3000 WiFi 6 PoE AP | Indoor Access Point,Hardware,$89.99,$89.99,1,NETGEAR WAX210PA-100NAS AX3000 WiFi 6 PoE AP | Indoor Access Point,N/A,,https://a5it.com/product/netgear-wifi-6-ax1800-dual-band-ap/WAX610-100NAS,
21SG000HUS,,"Lenovo ThinkBook 14 G8 IRL, Core 7 240H, 16 GB, 512 GB | Business Laptop",Hardware,"$1,053.57","$1,053.57",0,"Lenovo ThinkBook 14 G8 IRL, Core 7 240H, 16 GB, 512 GB | Business Laptop",N/A,,https://a5it.com/product/lenovo-ts-tb-14-g8-c7-16g-512g-11p/21SG000HUS,
21MW0037US,,Lenovo ThinkBook 16 G7 ARP Ryzen 5 7535HS 16GB 512GB | Enterprise Laptop,Hardware,$787.35,$787.35,1,Lenovo ThinkBook 16 G7 ARP Ryzen 5 7535HS 16GB 512GB | Enterprise Laptop,N/A,,https://a5it.com/product/lenovo-ts-tb-16-r5-7535hs-16-512-11p/21MW0037US,
21SG000FUS,,"Lenovo ThinkBook 14 G8 IRL Core 5 210H, 16 GB, 256 GB | Business Laptop",Hardware,$910.40,$910.40,0,"Lenovo ThinkBook 14 G8 IRL Core 5 210H, 16 GB, 256 GB | Business Laptop",N/A,,https://a5it.com/product/lenovo-ts-tb-14-irl-c5-16g-256g-11p/21SG000FUS,
WAX210PA-100NAS,,NETGEAR WAX210PA-100NAS AX3000 WiFi 6 PoE AP | Indoor Access Point,Hardware,$89.99,$89.99,1,NETGEAR WAX210PA-100NAS AX3000 WiFi 6 PoE AP | Indoor Access Point,N/A,,https://a5it.com/product/netgear-ax3000-wifi-6-2-2-poe-ap/WAX210PA-100NAS,
CM1000-100NAS,,"Netgear CM1000-100NAS DOCSIS 3.1 Cable Modem | Gigabit, High Speed",Hardware,$219.51,$219.51,1,"Netgear CM1000-100NAS DOCSIS 3.1 Cable Modem | Gigabit, High Speed",N/A,,https://a5it.com/product/netgear-ultra-high-speed-cable-modem/CM1000-100NAS,
83HJ0002UB,,"Lenovo TS Chromebook Duet G2 MTK838 | Chromebook, Education, Touch",Hardware,$296.67,$296.67,1,"Lenovo TS Chromebook Duet G2 MTK838 | Chromebook, Education, Touch",N/A,,https://a5it.com/product/lenovo-ts-chromebook-duet-g2-mtk838/83HJ0002UB,
PR60X-100NAS,,"Netgear PR60X-100NAS 10G Multi-Gig VPN Router | Insight, Enterprise",Hardware,$619.99,$619.99,1,"Netgear PR60X-100NAS 10G Multi-Gig VPN Router | Insight, Enterprise",N/A,,https://a5it.com/product/netgear-6pt-10g-mg-pro-rtrr-insight/PR60X-100NAS,
GS516UP-100NAS,,"NETGEAR GS516UP-100NAS 16-Port Gigabit PoE++ Switch | Unmanaged, 380 W",Hardware,$369.99,$369.99,1,"NETGEAR GS516UP-100NAS 16-Port Gigabit PoE++ Switch | Unmanaged, 380 W",N/A,,https://a5it.com/product/netgear-16pt-ge-u60-poe-um-switch/GS516UP-100NAS,
WAX210-100NAS,,"NETGEAR WAX210 AX1800 WiFi 6 PoE Access Point | Indoor, Gigabit",Hardware,$79.99,$79.99,1,"NETGEAR WAX210 AX1800 WiFi 6 PoE Access Point | Indoor, Gigabit",N/A,,https://a5it.com/product/netgear-ax1800-wifi-6-2-2-ap/WAX210-100NAS,
GS524PP-100NAS,,Netgear GS524PP-100NAS 24-Port Gigabit Unmanaged PoE++ Switch | 300W,Hardware,$389.99,$389.99,1,Netgear GS524PP-100NAS 24-Port Gigabit Unmanaged PoE++ Switch | 300W,N/A,,https://a5it.com/product/netgear-24pt-gb-unmnged-swtch-w-poe/GS524PP-100NAS,
GS316EPP-100NAS,,"NETGEAR GS316EPP 16-Port PoE+ Gigabit Switch, 231 W | Managed",Hardware,$279.99,$279.99,1,"NETGEAR GS316EPP 16-Port PoE+ Gigabit Switch, 231 W | Managed",N/A,,https://a5it.com/product/netgear-16-port-high-power-poe-plus/GS316EPP-100NAS,
B85MNUT#ABA,,"HP SmartBuy EBXG1i14AI U5 226V 14"" 16GB 512GB | Business Laptop, AI PC",Hardware,"$1,945.66","$1,945.66",1,"HP SmartBuy EBXG1i14AI U5 226V 14"" 16GB 512GB | Business Laptop, AI PC",N/A,,https://a5it.com/product/hp-14-ebxg1i14ai-u5266v-16-512-ng/B85MNUT%23ABA,
ZHB-00001,,"Microsoft Surface Laptop 7 13.8, 32 GB, 1 TB | Copilot+ PC, Windows 11",Hardware,"$2,098.96","$2,098.96",1,"Microsoft Surface Laptop 7 13.8, 32 GB, 1 TB | Copilot+ PC, Windows 11",N/A,,https://a5it.com/product/hp-14-ebxflg1i14ai-u7256v-16g-512/B86HYUT%23ABA,
ZHB-00001,,"Microsoft Surface Laptop 7 13.8, 32 GB, 1 TB | Copilot+ PC, Windows 11",Hardware,"$2,098.96","$2,098.96",1,"Microsoft Surface Laptop 7 13.8, 32 GB, 1 TB | Copilot+ PC, Windows 11",N/A,,https://a5it.com/product/microsoft-lpt7-13-eli-32-1tb-graphite/ZHB-00001,
B86CGUT#ABA,,14 EBXFlG1i14AI U7266V 16G 512,Hardware,"$2,474.66","$2,474.66",1,14 EBXFlG1i14AI U7266V 16G 512,N/A,,https://a5it.com/product/hp-14-ebxflg1i14ai-u7266v-16g-512/B86CGUT%23ABA,
B85MQUT#ABA,,"HP EliteBook 14 EBXG1i AI U7 256V, 16 GB, 512 GB SSD | Business Laptop",Hardware,"$2,157.26","$2,157.26",1,"HP EliteBook 14 EBXG1i AI U7 256V, 16 GB, 512 GB SSD | Business Laptop",N/A,,https://a5it.com/product/hp-14-ebxg1i14ai-u7256v-16-512-ng/B85MQUT%23ABA,
CHROMEBOX5A-SC041UN,,"ASUS Chromebox 5a SC041UN Intel Celeron 7305, 4 GB, 128 GB | Mini PC",Hardware,$311.97,$311.97,1,"ASUS Chromebox 5a SC041UN Intel Celeron 7305, 4 GB, 128 GB | Mini PC",N/A,,https://a5it.com/product/asus-chromebox5a-sc041un/CHROMEBOX5A-SC041UN,
